server,url,method,response_time_ms,content_length
flask,http://127.0.0.1:8000/,GET,86198.88114929199,486
flask,http://127.0.0.1:8000/,GET,86372.8220462799,486
flask,http://127.0.0.1:8000/,GET,86341.19415283203,486
flask,http://127.0.0.1:8000/,GET,86341.24207496643,486
flask,http://127.0.0.1:8000/,GET,86199.21708106995,486
flask,http://127.0.0.1:8000/,GET,86282.52172470093,486
flask,http://127.0.0.1:8000/,GET,86281.77905082703,486
flask,http://127.0.0.1:8000/,GET,86280.4057598114,486
flask,http://127.0.0.1:8000/,GET,86198.64821434021,486
flask,http://127.0.0.1:8000/,GET,86280.19833564758,486
flask,http://127.0.0.1:8000/hello,GET,86215.89684486389,335
flask,http://127.0.0.1:8000/hello,GET,86216.45903587341,335
flask,http://127.0.0.1:8000/hello,GET,86216.90607070923,335
flask,http://127.0.0.1:8000/hello,GET,86216.63308143616,335
flask,http://127.0.0.1:8000/hello,GET,86217.39411354065,335
flask,http://127.0.0.1:8000/hello,GET,86217.11897850037,335
flask,http://127.0.0.1:8000/hello,GET,86217.00286865234,335
flask,http://127.0.0.1:8000/hello,GET,86217.15784072876,335
flask,http://127.0.0.1:8000/hello,GET,86217.11111068726,335
flask,http://127.0.0.1:8000/hello,GET,86217.48971939087,335
flask,http://127.0.0.1:8000/hello,GET,86217.44585037231,335
flask,http://127.0.0.1:8000/hello,GET,86217.48995780945,335
flask,http://127.0.0.1:8000/hello,GET,86217.72789955139,335
flask,http://127.0.0.1:8000/hello,GET,86217.81277656555,335
flask,http://127.0.0.1:8000/hello,GET,86215.85083007812,335
flask,http://127.0.0.1:8000/hello,GET,86215.61408042908,335
flask,http://127.0.0.1:8000/hello,GET,86215.34419059753,335
flask,http://127.0.0.1:8000/hello,GET,86215.13414382935,335
flask,http://127.0.0.1:8000/hello,GET,86215.92974662781,335
flask,http://127.0.0.1:8000/hello,GET,86214.96486663818,335
flask,http://127.0.0.1:8000/hello,GET,86216.12215042114,335
flask,http://127.0.0.1:8000/hello,GET,86214.13898468018,335
flask,http://127.0.0.1:8000/hello,GET,86213.50407600403,335
flask,http://127.0.0.1:8000/hello,GET,86213.65809440613,335
flask,http://127.0.0.1:8000/hello,GET,86213.32311630249,335
flask,http://127.0.0.1:8000/hello,GET,86213.15503120422,335
flask,http://127.0.0.1:8000/hello,GET,86213.13118934631,335
flask,http://127.0.0.1:8000/hello,GET,86212.80789375305,335
flask,http://127.0.0.1:8000/hello,GET,86212.93115615845,335
flask,http://127.0.0.1:8000/hello,GET,86212.9418849945,335
flask,http://127.0.0.1:8000/hello,GET,86212.49628067017,335
flask,http://127.0.0.1:8000/hello,GET,86212.66913414001,335
flask,http://127.0.0.1:8000/hello,GET,86212.31889724731,335
flask,http://127.0.0.1:8000/hello,GET,86212.07809448242,335
flask,http://127.0.0.1:8000/hello,GET,86212.21208572388,335
flask,http://127.0.0.1:8000/hello,GET,86211.17091178894,335
flask,http://127.0.0.1:8000/hello,GET,86211.66110038757,335
flask,http://127.0.0.1:8000/hello,GET,86212.40496635437,335
flask,http://127.0.0.1:8000/hello,GET,86210.83974838257,335
flask,http://127.0.0.1:8000/hello,GET,86211.0230922699,335
flask,http://127.0.0.1:8000/hello,GET,86211.24911308289,335
flask,http://127.0.0.1:8000/hello,GET,86210.63494682312,335
flask,http://127.0.0.1:8000/hello,GET,86211.35187149048,335
flask,http://127.0.0.1:8000/hello,GET,86209.80191230774,335
flask,http://127.0.0.1:8000/hello,GET,86210.0510597229,335
flask,http://127.0.0.1:8000/hello,GET,86208.61983299255,335
flask,http://127.0.0.1:8000/hello,GET,86208.3568572998,335
flask,http://127.0.0.1:8000/hello,GET,86209.27309989929,335
flask,http://127.0.0.1:8000/hello,GET,86207.98897743225,335
